Hora,Ubicacion,Magnitud,Intensidad,Emitido
28.12.1982,S. Of Honshu Island,6.1,0,42 km
23.07.1982,"Ibaraki, Japan",6.8,0,53 km
21.03.1982,"Hokkaido, Urakawa, Hiroo",6.7,110,7 km
18.01.1981,E. Honshu Island,6.9,0,24 km
24.09.1980,"Tokyo, Yokohama",6.0,2,24 km
29.06.1980,Honshu (S Coast),6.2,0,5 km
20.02.1979,"Iwate, Japan",6.4,0,32 km
12.06.1978,Sanriku,7.7,28,26 km
03.06.1978,Sur Honshu (Hiroshima),4.9,0,52 km
20.02.1978,"Ofunato, Tohoku",6.1,0,58 km
14.01.1978,"Tokkaido, Oshima",6.6,25,39 km
20.04.1975,"Oita, Arosan",6.1,0,50 km
23.01.1975,Arosan,5.8,0,14 km
03.08.1974,"Honshu (Kakiota, Mito, Tokyo)",5.7,2,34 km
08.05.1974,Nakagi,6.5,30,25 km
17.06.1973,Hokkaido Island,7.7,0,2 km
04.12.1972,"Sur Of Honshu, Hachijojima",7.4,0,12 km
29.02.1972,"Sur Of Honshu (Hachijojima, Tokyo)",7.2,0,59 km
02.08.1971,Japan Trench,7.3,0,56 km
25.07.1970,"Seikaido, Japan",7.0,0,10 km
19.01.1969,Hokkaido,7.6,0,4 km
07.10.1968,Bonin Islands,7.5,0,20 km
12.06.1968,Sanriku,7.2,0,50 km
16.05.1968,Off Coast Of Honshu Island,7.5,0,1 km
16.05.1968,Off East Coast Of Honshu Island,8.2,52,55 km
01.04.1968,"Kyushu, Shikoku",7.5,1,4 km
21.02.1968,Kyushu,6.3,3, 
19.04.1965,"Aichi, Shizouka Prefectures",6.0,1,58 km
16.06.1964,Honshu (W Coast),7.5,26,44 km
07.05.1964,Nw. Honshu Island,6.6,0, 
07.05.1964,Nw. Honshu Island,6.9,0,14 km
21.05.1962,Off Coast Of Honshu Island,5.7,0, 
30.04.1962,Honshu (Sendai),6.8,1,30 km
12.04.1962,Sanriku,7.2,0,43 km
19.08.1961,Honshu (W Coast),7.3,10, 
26.02.1961,Miyazaki,7.3,2,48 km
29.07.1960,Sanriku,6.7,0,45 km
23.03.1960,Sanriku,6.7,0, 
20.03.1960,Sanriku,7.5,0,30 km
11.03.1958,Ryukyu Islands,7.5,0,56 km
12.08.1956,Izu Peninsula,6.5,0,37 km
18.11.1954,Honshu (Miyagi Prefecture),6.5,0,55 km
25.11.1953,Kashima,7.4,1, 
09.03.1952,Hokkaido,7.1,0, 
04.03.1952,Hokkaido,8.1,33,41 km
